ProbeSet,LocusLink,Symbol,GeneID
11715398_a_at,LOC328,APEX1,APEX1_11715398_a_at
11715399_at,LOC292,SLC25A5,SLC25A5_11715399_at
11715400_x_at,LOC292,SLC25A5,SLC25A5_11715400_x_at
11715401_s_at,LOC3608,ILF2,ILF2_11715401_s_at
11715402_x_at,,ILF2,ILF2_11715402_x_at
11715403_a_at,LOC1291,COL6A1,COL6A1_11715403_a_at
11715404_a_at,LOC1291,COL6A1,COL6A1_11715404_a_at
11715405_x_at,LOC1291,COL6A1,COL6A1_11715405_x_at
11715406_a_at,LOC1291,COL6A1,COL6A1_11715406_a_at
11715407_s_at,LOC5692,PSMB4,PSMB4_11715407_s_at
11715408_x_at,LOC5692,PSMB4,PSMB4_11715408_x_at
11715409_a_at,LOC7001,PRDX2,PRDX2_11715409_a_at
11715410_x_at,LOC7001,PRDX2,PRDX2_11715410_x_at
11715411_a_at,LOC2034,EPAS1,EPAS1_11715411_a_at
11715412_a_at,LOC2034,EPAS1,EPAS1_11715412_a_at
11715413_s_at,LOC8848,TSC22D1,TSC22D1_11715413_s_at
11715414_x_at,LOC1281,COL3A1,COL3A1_11715414_x_at
11715415_a_at,LOC1281,COL3A1,COL3A1_11715415_a_at
11715416_s_at,LOC1642,DDB1,DDB1_11715416_s_at
11715417_s_at,,SKP1 || SKP1P2,SKP1 || SKP1P2_11715417_s_at
11715418_x_at,LOC6500,SKP1,SKP1_11715418_x_at
11715419_at,LOC4061,LY6E,LY6E_11715419_at
11715420_a_at,LOC10576,CCT2,CCT2_11715420_a_at
11715421_a_at,LOC10576,CCT2,CCT2_11715421_a_at
11715422_a_at,LOC10134,BCAP31,BCAP31_11715422_a_at
11715423_s_at,LOC10134,BCAP31,BCAP31_11715423_s_at
11715424_x_at,LOC10134,BCAP31,BCAP31_11715424_x_at
11715425_x_at,LOC2316,FLNA,FLNA_11715425_x_at
11715426_s_at,LOC4809,NHP2L1,NHP2L1_11715426_s_at
11715427_at,LOC4809,NHP2L1,NHP2L1_11715427_at
11715428_x_at,LOC378,ARF4,ARF4_11715428_x_at
11715429_s_at,LOC378,ARF4,ARF4_11715429_s_at
11715430_a_at,LOC231,AKR1B1,AKR1B1_11715430_a_at
11715431_a_at,LOC64114,TMBIM1,TMBIM1_11715431_a_at
11715432_a_at,LOC64114,TMBIM1,TMBIM1_11715432_a_at
11715433_a_at,LOC5931,RBBP7,RBBP7_11715433_a_at
11715434_a_at,LOC10130,PDIA6,PDIA6_11715434_a_at
